#,Game,Release date,Price,Score rank,Owners,ratings
1,Minecraft Legends,"Apr 18, 2023",39.99  $,N/A (N/A),"50,000 .. 100,000",1
2,Desktop Dungeons,"Apr 18, 2023",14.99  $,N/A (N/A/82%),"100,000 .. 200,000",2
3,Boundary,"Apr 13, 2023",22.49  $,N/A (N/A),"200,000 .. 500,000",7
4,Wartales,"Apr 12, 2023",26.24  $,N/A (N/A),"500,000 .. 1,000,000",9
5,Thriving City: Song,"Apr 21, 2023",17.09  $,N/A (N/A),"200,000 .. 500,000",5
6,Neon Echo,"Apr 20, 2023",14.99  $,N/A (N/A),"20,000 .. 50,000",9
7,Desktop Dungeons: Rewind,"Apr 18, 2023",16.99  $,N/A (N/A),"0 .. 20,000",7
8,Fabledom,"Apr 13, 2023",15.99  $,N/A (N/A),"200,000 .. 500,000",8
9,Volcano Princess,"Apr 20, 2023",9.34  $,N/A (N/A),"100,000 .. 200,000",1
10,Mega Man Battle Network Legacy Collection Vol. 1,"Apr 13, 2023",39.99  $,N/A (N/A),"20,000 .. 50,000",2
11,OTXO,"Apr 20, 2023",13.49  $,N/A (N/A),"0 .. 20,000",7
12,Bio Prototype,"Apr 11, 2023",3.99  $,N/A (N/A),"100,000 .. 200,000",9
13,Coal Mining Simulator,"Apr 11, 2023",14.99  $,N/A (N/A),"20,000 .. 50,000",5
14,Rusted Moss,"Apr 11, 2023",19.99  $,N/A (N/A),"0 .. 20,000",9
15,EVERSPACE 2,"Apr 6, 2023",49.99  $,N/A (N/A/81%),"200,000 .. 500,000",7
16,Ravenswatch,"Apr 6, 2023",19.99  $,N/A (N/A),"50,000 .. 100,000",8
17,Mohism: Battle of Words,"Apr 17, 2023",8.99  $,N/A (N/A),"0 .. 20,000",1
18,Meet Your Maker,"Apr 4, 2023",29.99  $,N/A (N/A),"50,000 .. 100,000",2
19,STRANGER OF PARADISE FINAL FANTASY ORIGIN,"Apr 6, 2023",39.99  $,N/A (N/A),"20,000 .. 50,000",7
20,Wall World,"Apr 5, 2023",4.99  $,N/A (N/A),"100,000 .. 200,000",9
21,Open At Nine,"Apr 12, 2023",9.99  $,N/A (N/A),"0 .. 20,000",5
